team_names,points_for,points_against,division_record,home_record,away_record,moves
The Vaccination ðŸ¥¶,1614.7,1548.1,4-1-0,4-3-0,4-2-0,34
Simp Alert,1652.72,1444.74,3-2-0,3-3-0,6-1-0,26
San Clemente  Beaters ,1435.76,1310.96,2-3-0,4-3-0,4-2-0,5
Unger the Influence,1599.28,1412.48,3-2-0,4-3-0,5-1-0,35
Arizona Vipers,1603.38,1366.12,4-1-0,4-1-0,5-3-0,15
Wuhan Bats,1500.48,1361.54,2-3-0,6-1-0,2-4-0,24
 Mighty BetaFish,1524.92,1592.24,3-2-0,1-4-0,4-4-0,12
877 CASH NOW,1370.9,1554.2,3-2-0,2-5-0,1-5-0,11
Deshaun's W's,1352.82,1619.3,1-4-0,2-5-0,2-4-0,26
Show Me Your TDâ€™s,1558.22,1581.48,1-4-0,4-3-0,3-3-0,61
The Tempe Turriblez,1482.28,1468.4,3-2-0,3-3-0,3-4-0,41
My Football CLUB ,1248.92,1684.82,1-4-0,2-5-0,0-6-0,10
